Id,Name,Type,Rarity,Introduction,skillGemParam ID
46,Parashroom,Normal,rare3,A mushroom that induces paralysis. Required to craft Tranq Bombs.,
47,Toadstool,Normal,rare2,A poisonous fungus. Can be used as a toxin for knives.,
48,Exciteshroom,Normal,rare3,This one has a very strange aroma. Is it edible? Only one way to find out! Required to craft Farcasters.,
49,Bitterbug,Normal,rare1,A sharp-tasting bug with innate healing abilities. Used as an ingredient in many medicines.,
50,Flashbug,Normal,rare2,An insect that emits a powerful flash when it dies. Required to craft Flash Pods.,
51,Godbug,Normal,rare4,An insect said to live a millennium. Combine it with other items to add their properties to the powder.,
52,Thunderbug,Normal,rare4,An insect that emits electricity when struck. Required to craft Shock Traps and Thunder Ammo.,
53,Baitbug,Normal,rare3,"An insect used as fishing bait. A fish favorite, it practically races down the nearest gilly gullet.",
54,Kelbi Horn,Normal,rare4,"While not practical when forging equipment, Kelbi horns are a vital component of many items.",
55,Dash Extract,Normal,rare4,A mysterious substance culled from certain monsters that increases endurance.,
56,Nourishing Extract,Normal,rare4,Can be obtained from certain large monsters. Has the ability to amplify the effects of certain medicines.,
57,Screamer Sac,Normal,rare2,A monster organ that emits an earsplitting sonic blast when ruptured. Used to craft screamer pods.,
58,Catalyst,Normal,rare2,Works with other materials to enhance their effects. Cannot be used by itself.,
59,Tranq Bomb,Normal,rare3,A hand grenade used to capture monsters ensnared in traps. Can be slammed against the ground.,
60,Flash Pod,Normal,rare2,Slinger ammo that flashes brightly on impact. Fire it right under a monster's nose to blind it.,
61,Screamer Pod,Normal,rare2,"Used as ammo for your slinger. Emits a harsh, high-frequency sound that can disrupt sensitive monsters.",
62,Smoke Bomb,Normal,rare2,Creates a large cloud of smoke wherever it lands.,
63,Poison Smoke Bomb,Normal,rare2,Releases a toxic cloud of mist when used. Also popular as a household bug bomb.,
64,Farcaster,Normal,rare3,Call for a wingdrake to transport you to the nearest camp. Can also be used during battles.,
65,Raw Meat,Normal,rare1,"Meat carved from a monster. Can be cooked, combined, or used to set a trap.",
66,Poisoned Meat,Normal,rare2,Raw meat that poisons whatever eats it. Makes great bait for traps.,
67,Tinged Meat,Normal,rare2,Raw meat that paralyzes whatever eats it. Makes great bait for traps.,
68,Drugged Meat,Normal,rare2,Raw meat that puts whatever eats it to sleep. Makes great bait for traps.,
69,Gunpowder,Normal,rare2,A dangerous substance that explodes when struck or heated.,
70,Small Barrel,Normal,rare1,"A small, empty barrel.",
71,Barrel Bomb,Normal,rare2,A small time bomb.,
72,Bounce Bomb,Normal,rare2,Launches into the air when set. This modified bomb requires skill to use.,
73,Mega Bounce Bomb,Normal,rare4,An improved version of the bounce bomb. Requires some skill to use.,
74,Large Barrel,Normal,rare2,"A large, empty barrel. Combine with gunpowder to make it into a bomb.",
75,Large Barrel Bomb,Normal,rare3,A powerful bomb triggered by external physical impact.,
76,Mega Barrel Bomb,Normal,rare4,An upgraded large barrel bomb. Effective against large monsters.,
77,Spider Web,Normal,rare1,A very sticky web. Used to craft pitfall traps.,
78,Net,Normal,rare2,A sturdy net that supports a certain amount of weight without breaking. Perfect for pitfall traps.,
79,Trap Tool,Normal,rare3,A must-have item for putting together pitfall traps and other kinds of traps.,
80,Pitfall Trap,Normal,rare3,A trap for catching certain large monsters. It is tripped by a heavy weight.,
81,Shock Trap,Normal,rare3,A trap that immobilizes a target. Use it to capture monsters.,
82,Rolled-up Dung,Normal,rare1,A ball of condensed monster dung. Used to make dung pods for your slinger.,
83,Dung,Normal,rare1,Exudes a prodigious smell. Used to make ammo for your slinger called dung pods.,
84,Dung Pod,Normal,rare2,Slinger ammo that releases a strong odor on impact. Causes certain monsters to flee.,
85,Arowana Bait,Normal,rare2,A ball of bait favored by fish of the Arowana family.,
86,Gunpowderfish Bait,Normal,rare2,A ball of bait favored by fish of the Gunpowderfish family.,
87,Goldenfish Bait,Normal,rare2,A ball of bait favored by fish of the Goldenfish family.,
88,Boomerang,Normal,rare4,An unusually-shaped weapon from abroad that returns to its user when thrown.,
89,Binoculars,Normal,rare1,Allows you to see farther and observe from a distance.,
90,Powercharm,Normal,rare5,An amulet that strengthens attacks. Just carrying this gives you demonic strength.,
91,Powertalon,Normal,rare5,A charm that strengthens attacks. Its effects are amplified by the dragon parts it contains.,
92,Armorcharm,Normal,rare5,An amulet that increases defense. Just carrying this hardens your skin like stone.,
93,Armortalon,Normal,rare5,A charm that increases defense. Its effects are amplified by the dragon parts it contains.,
94,Needleberry,Normal,rare1,A nut covered in needle-like spines. Used to make spread ammo.,
95,Blastnut,Normal,rare1,A nut used to make sticky ammo.,
96,Dragonstrike Nut,Normal,rare2,A nut that explodes on impact. Used to make wyvern ammo.,
97,Slashberry,Normal,rare1,Used to make slicing ammo.,
98,Latchberry,Normal,rare1,A nut that bears a spiral groove. Used to make pierce ammo.,
99,Bomberry,Normal,rare2,A nut that ruptures on impact. Used to make cluster bombs.,
100,Flamenut,Normal,rare2,Used to make gunpowder that increases ammo firepower.,
101,Blazenut,Normal,rare2,Used to make gunpowder that greatly increases ammo firepower.,
102,Gunpowder Level 2,Normal,rare2,Combustible powder. Combine with level 1 ammo to raise its level.,
103,Gunpowder Level 3,Normal,rare2,Highly combustible powder. Combine with level 1 ammo to raise its level.,
104,Whetfish Fin,Normal,rare2,"A fish fin used to sharpen weapons. Restores sharpness greatly, but good for fewer uses than a whetstone.",
105,Whetfish Fin+,Normal,rare4,"A fish fin used to sharpen weapons. Works better than a whetstone, and can be reused if you're lucky.",
106,Sushifish Scale,Normal,rare2,A scale from a Sushifish. Eat to restore a small amount of health. Also works to treat bleeding.,
107,Great Sushifish Scale,Normal,rare4,"Scale from a Great Sushifish. Eat to get large health boost, a natural healing boost, and treat bleeding.",
108,Gunpowderfish Scale,Normal,rare3,The scales of a Gunpowderfish. Combine with a large barrel bomb to dramatically increase its firepower.,
109,Great Gunpowderfish Scale,Normal,rare4,The scales of a Great Gunpowderfish. Combine with a large barrel bomb to make a mega barrel bomb.,
110,Burst Arowana Scale,Normal,rare2,The scales of a Burst Arowana. Combine with fire herb to make a large amount of level 2 gunpowder.,
111,Great Burst Arowana Scale,Normal,rare4,The scales of a Great Burst Arowana. Combine with fire herb to make a vast amount of level 2 gunpowder.,
112,Bomb Arowana Scale,Normal,rare2,The scales of a Bomb Arowana. Combine with fire herb to make a large amount of Lv3 gunpowder.,
113,Great Bomb Arowana Scale,Normal,rare4,The scales of a Great Bomb Arowana. Combine with fire herb to make a vast amount of Lv3 gunpowder.,
114,Whetstone,Normal,rare4,A standard-sized whetstone. Use it to restore a weapon's sharpness.,
115,Capture Net,Normal,rare4,A net that can be fired from your slinger. Use it to capture small creatures.,
116,Fishing Rod,Normal,rare4,A tool used for fishing.,
117,BBQ Spit,Normal,rare4,Just what you need to cook meat. A must-have item for any hungry hunter.,
118,Ghillie Mantle,Normal,rare4,Conceal yourself from view temporarily. The effect ends if you perform an attack or take damage.,
119,Temporal Mantle,Normal,rare4,Nullify damage from powerful attacks by automatically evading.,
120,Health Booster,Normal,rare4,"Once spiked into the ground, it emits a healing cloud that gradually restores the health of anyone who stands in it.",
121,Rocksteady Mantle,Normal,rare4,"Stands firm against certain attacks, and gives you protection against wind pressure, roars, tremors. Also lessens damage.",
122,Challenger Mantle,Normal,rare4,"Attracts monsters to you, making it easier to lure them to a favorable position.",
123,Vitality Mantle,Normal,rare4,Nullifies a set amount of damage. The effect ends if more than that amount is taken.,
124,Fireproof Mantle,Normal,rare4,"Reduces fire element damage and nullifies fireblight, blastblight, and heat damage.",
125,Waterproof Mantle,Normal,rare4,"Reduces water element damage, nullifies waterblight and mud. Lets you wade through deep water easier.",
126,Iceproof Mantle,Normal,rare4,Reduces ice element damage and nullifies iceblight.,
127,Thunderproof Mantle,Normal,rare4,Reduces thunder element damage. Nullifies thunderblight and paralysis.,
128,Dragonproof Mantle,Normal,rare4,Reduces dragon element damage. Nullifies dragonblight while raising dragon element attack.,
129,Cleanser Booster,Normal,rare4,"Once spiked into the ground, it emits a healing cloud that cures any abnormal status of anyone who stands in it.",
130,Glider Mantle,Normal,rare4,"Extends air time when jumping, lets you ride on strong winds, and makes it easier to mount monsters.",
131,Evasion Mantle,Normal,rare4,Extends the invulnerability window of evasive actions. Dodge attacks at the last minute for an attack boost.,
132,Impact Mantle,Normal,rare4,"Adds a stun value to most attacks, and enhances the effect of attacks which cause stun.",
133,Apothecary Mantle,Normal,rare4,Increases the likelihood of weapons with abnormal status attacks to contribute to status buildup.,
134,Immunity Mantle,Normal,rare4,Clears all abnormal statuses and grants immunity from them for a limited amount of time.,
135,Affinity Booster,Normal,rare4,"Once spiked into the ground, it emits a cloud of mist that boosts affinity for you and surrounding teammates.",
136,Bandit Mantle,Normal,rare4,Makes attacks against large monsters drop rare and valuable trade-in items.,
137,Normal Ammo 1,Ammo,rare4,"Ammo for novices. Gets the job done, but it doesn't pack much oomph.",
138,Normal Ammo 2,Ammo,rare2,Non-specialized ammo. More powerful than Normal Ammo 1. Capacity: 99,
139,Normal Ammo 3,Ammo,rare3,Ammo made with high-quality gunpowder. Each shot packs considerable punch. Capacity: 99,
140,Pierce Ammo 1,Ammo,rare1,Armor-piercing ammo that deals multiple hits to some monsters. Capacity: 60,
141,Pierce Ammo 2,Ammo,rare2,High-grade armor-piercing ammo. Deals more hits than Pierce Ammo 1. Capacity: 60,
142,Pierce Ammo 3,Ammo,rare3,Max-grade armor-piercing ammo. Deals numerous hits. Capacity: 60,
143,Spread Ammo 1,Ammo,rare1,Ammo that covers a wide area. Deals multiple hits at close range. Capacity: 80,
144,Spread Ammo 2,Ammo,rare2,High-grade ammo that covers a wide area. Deals more hits than Spread Ammo 1. Capacity: 70,
145,Spread Ammo 3,Ammo,rare3,Max-grade ammo that covers a wide area and deals numerous hits. Capacity: 60,
146,Sticky Ammo 1,Ammo,rare1,Powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9,
147,Sticky Ammo 2,Ammo,rare2,Very powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9,
148,Sticky Ammo 3,Ammo,rare3,Extremely powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9,
149,Cluster Bomb 1,Ammo,rare2,Ammo that fragments into three shells upon impact. Beware of friendly fire! Capacity: 3,
150,Cluster Bomb 2,Ammo,rare3,Ammo that fragments into four shells upon impact. Beware of friendly fire! Capacity: 3,
151,Cluster Bomb 3,Ammo,rare4,Ammo that fragments into five shells upon impact. Beware of friendly fire! Capacity: 3,
152,Flaming Ammo,Ammo,rare2,Ammo that packs a punch against monsters susceptible to fire. Capacity: 60,
153,Water Ammo,Ammo,rare2,Ammo that packs a punch against monsters susceptible to water. Capacity: 60,
154,Thunder Ammo,Ammo,rare2,Ammo that packs a punch against monsters susceptible to thunder. Capacity: 60,
155,Freeze Ammo,Ammo,rare2,Ammo that packs a punch against monsters susceptible to ice. Capacity: 60,
156,Dragon Ammo,Ammo,rare3,Elderseal-imbued ammo that packs a punch against monsters weak to dragon. Capacity: 3,
157,Poison Ammo 1,Ammo,rare2,"Poisons target, but may require several shots. Capacity: 12",
158,Poison Ammo 2,Ammo,rare3,Enhanced ammo that inflicts poison. Some targets require multiple shots. Capacity: 12,
159,Paralysis Ammo 1,Ammo,rare2,Ammo that causes paralysis. Some targets require multiple shots. Capacity: 12,
160,Paralysis Ammo 2,Ammo,rare3,Enhanced ammo that causes paralysis. Some targets require multiple shots. Capacity: 8,
161,Sleep Ammo 1,Ammo,rare2,Ammo that induces sleep. Some targets require multiple shots. Capacity: 12,
162,Sleep Ammo 2,Ammo,rare3,Enhanced ammo that induces sleep. Some targets require multiple shots. Capacity: 8,
163,Exhaust Ammo 1,Ammo,rare2,Ammo that drains a monster's stamina. Capacity: 12,
164,Exhaust Ammo 2,Ammo,rare3,Enhanced ammo that drains a monster's stamina. Capacity: 8,
165,Recover Ammo 1,Ammo,rare2,Ammo that restores a small amount of health to an ally upon impact. Capacity: 12,
166,Recover Ammo 2,Ammo,rare3,Ammo that restores a moderate amount of health to an ally upon impact. Capacity: 12,
167,Wyvern Ammo,Ammo,rare3,Ammo created through years of research into Wyvern's Fire. Capacity: 5,
168,Slicing Ammo,Ammo,rare2,"Ammo that ejects sharp blades on impact, which can sever tails. Capacity: 30",
169,Tranq Ammo,Ammo,rare3,Bowgun ammo used to capture monsters ensnared in traps. Capacity: 8,
170,Demon Ammo,Ammo,rare4,Ammo that fills the target with savage amounts of strength. Capacity: 5,
171,Armor Ammo,Ammo,rare4,Ammo that makes the target's skin as hard as stone. Capacity: 5,
172,(None),Coating,rare1,Unavailable,
173,Close-range Coating,Coating,rare4,"Arrows designed to deal more damage to nearby targets, at the cost of a reduced maximum range.",
174,Empty Phial,Normal,rare1,"A regular old empty phial. Nothing more, nothing less.",
175,Power Coating,Coating,rare2,An arrow coating that increases the attack power of arrows. Capacity: 50,
176,Poison Coating,Coating,rare3,An arrow coating that applies poison effects to arrows. Capacity: 20,
177,Paralysis Coating,Coating,rare3,An arrow coating that applies paralysis effects to arrows. Capacity: 20,
178,Sleep Coating,Coating,rare3,An arrow coating that induces sleep. Capacity: 20,
179,Exhaust Coating,Coating,rare3,An arrow coating that causes arrows to drain monsters' stamina. Capacity: 20,
180,Blast Coating,Coating,rare3,An arrow coating that applies explosive powder to arrows. Capacity: 20,
181,First-aid Med,Normal,rare1,Restores a small amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
182,First-aid Med+,Normal,rare2,Restores a moderate amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
183,EZ Ration,Normal,rare1,Restores a small amount of stamina. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
184,EZ Lifepowder,Normal,rare2,Produces a healing cloud around the area that heals anyone that comes in contact with it. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
185,EZ Max Potion,Normal,rare2,Fully restores health and maximizes your Health Gauge. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
186,EZ Large Barrel Bomb,Normal,rare3,A powered-up large barrel bomb. Just as powerful as a mega barrel bomb. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
187,EZ Shock Trap,Normal,rare3,Immobilizes a target for easy capture. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
188,EZ Pitfall Trap,Normal,rare3,Activates a pitfall to catch monsters with. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
189,EZ Herbal Powder,Normal,rare4,Cures poison and restores a bit of health for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
190,EZ Demon Powder,Normal,rare4,Temporarily strengthens attacks for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
191,EZ Hardshell Powder,Normal,rare4,Temporarily increases defense strength for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
192,EZ Dung Pod,Normal,rare2,Releases a strong odor on impact. Causes certain monsters to flee. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
193,EZ Flash Pod,Normal,rare2,Slinger ammo that flashes brightly on impact. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
194,EZ Screamer Pod,Normal,rare2,Slinger ammo that emits an earsplitting sonic blast. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
195,Throwing Knife,Normal,rare1,A knife that can be shot from your slinger. Can be coated with a range of chemicals. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
196,Poison Knife,Normal,rare2,A knife coated with poison that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
197,Sleep Knife,Normal,rare2,A knife coated with a sedative that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
198,Paralysis Knife,Normal,rare2,A knife coated with a paralyzing toxin that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
199,Tranq Knife,Normal,rare3,A knife coated with a tranquilizer that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
200,EZ Farcaster,Normal,rare3,Call for a wingdrake to transport you to the nearest camp. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
201,EZ Tranq Bomb,Normal,rare3,A hand grenade used to capture monsters ensnared in traps. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
202,Ballista Ammo,Ammo,rare4,Ammunition for the large Ballista. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
203,One-shot Binder,Ammo,rare4,"Ballista ammo that restrains targets. Disposable ammo, no cooldown. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>",
204,Cannon Ammo,Normal,rare4,Steel ammo made for hunting giant dragons. A real pain to lug around. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
205,Iron Ore,Material,rare4,Ore that can be smelted into metal and used for many different purposes.,
206,Machalite Ore,Material,rare4,Ore that's more difficult to procure than Iron Ore. Produces fine metal.,
207,Dragonite Ore,Material,rare4,An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.,
208,Carbalite Ore,Material,rare6,"Ore obtained from mining outcrops. Still under research, but known to yield highly pure metal.",
209,Fucium Ore,Material,rare6,"Ore obtained from the Elder's Recess. A mysterious metal, capable of fusing nearly any two materials together.",
210,Earth Crystal,Material,rare4,Crystallized microbes prized as an abrasive when forging weapons. Mainly found in the Wildspire Waste.,
211,Coral Crystal,Material,rare4,Crystal prized at the Smithy for use in high-grade abrasives. Mainly found in the Coral Highlands.,
212,Dragonvein Crystal,Material,rare6,Mined from high rank areas. Many expect this newly-discovered crystal to usher in a new era of metalwork.,
213,Lightcrystal,Material,rare5,A precious and extremely hard substance with a faint glow. Sometimes used for crafting tools.,
214,Novacrystal,Material,rare7,"High quality Lightcrystal. Highly coveted for its rarity, it's used for only the finest of metalworking.",
215,Firecell Stone,Material,rare7,A magma-like deposit that only trained hands can work with. Armor made from it is first-class.,
216,Aquacore Ore,Material,rare4,A valuable mineral used to create charms. Gives off a vibrant glow that mirrors the ocean.,
217,Spiritcore Ore,Material,rare6,"A valuable mineral used to create charms. Gives off a warm, sunny glow.",
218,Dreamcore Ore,Material,rare7,A valuable mineral used to create charms. Gives off a blazing glow reminiscent of a bonfire.,
219,Dragoncore Ore,Material,rare8,A valuable mineral used to create charms. Gives off a mysterious glow that grants the holder sagely wisdom.,
220,Armor Sphere,Material,rare4,Reacts uniquely to heat. Fuse this to armor to improve it by a tiny amount.,
221,Armor Sphere+,Material,rare5,Reacts uniquely to heat. Fuse this to armor to improve it by a small amount.,
222,Advanced Armor Sphere,Material,rare6,Reacts uniquely to heat. Fuse this to armor to improve it.,
223,Hard Armor Sphere,Material,rare7,Reacts uniquely to heat. Fuse this to armor to significantly improve it.,
224,Heavy Armor Sphere,Material,rare8,Reacts uniquely to heat. Fuse this to armor to greatly improve it.,
225,Sturdy Bone,Material,rare4,A bone used as crafting material. Can be found in bonepiles in the Coral Highlands and Rotten Vale.,
226,Quality Bone,Material,rare6,A bone used as crafting material. Its ease of use and hardness allow it to be shaped into better gear.,
227,Ancient Bone,Material,rare4,A bone used as crafting material. Can be found in bonepiles in the Ancient Forest. Its size evokes a certain primal quality.,
228,Boulder Bone,Material,rare4,A bone used as crafting material. Can be found in bonepiles in the Wildspire Waste. Its size evokes a certain primal quality.,
229,Coral Bone,Material,rare4,A bone used as crafting material. Can be found in bonepiles in the Coral Highlands. Its size evokes a certain primal quality.,
230,Warped Bone,Material,rare4,A bone used as crafting material. Can be found in bonepiles in the Rotten Vale. Its size evokes a certain primal quality.,
231,Brutal Bone,Material,rare6,A bone used as crafting material. Can be found in bonepiles in the Elder's Recess. Its size evokes a certain primal quality.,
232,Dragonbone Relic,Material,rare7,A high quality material found in bone piles. The only remains left of a species of dragon now lost to time.,
233,Unknown Skull,Material,rare7,A rare material found in bonepiles in the Elder's Recess. It appears to be some kind of animal skull.,
234,Great Hornfly,Material,rare5,"Discovered by Botanical Research. An insect with a giant horn, massive shell, and butterfly-like wings.",
235,Sinister Cloth,Material,rare5,Suspect cloth the Tailraider Safari dug up from who-knows-where. Drips with an aura of pure evil.,
236,Monster Bone S,Material,rare4,A material found in bonepiles. Indispensable for both hunting and daily life.,
237,Monster Bone M,Material,rare4,"Bone obtained from large monsters. Strong yet flexible, it's as reliable as steel or wood.",
238,Monster Bone L,Material,rare4,"Bone obtained from large monsters. Hard to work with due to its size, but vital when crafting larger items.",
239,Monster Bone+,Material,rare4,"Bone obtained from large monsters. Hard to obtain, but vital for crafting powerful equipment.",
240,Monster Keenbone,Material,rare6,Bone obtained from high rank large monsters. It has a razor-sharp tip that retains its strength after forging.,
241,Monster Hardbone,Material,rare6,Precious bone obtained from high rank large monsters. Their rarity makes them highly sought after.,
242,Elder Dragon Bone,Material,rare7,A bone from an elder dragon. It exudes the great majesty of the beast that bore it.,
243,Sharp Claw,Material,rare4,"Obtained from small fanged wyverns. Unlike wyvern claws, this is shaped to grip objects.",
244,Piercing Claw,Material,rare6,Material from high rank small fanged wyverns. Sharp enough that it might serve as a makeshift knife.,
245,Monster Fluid,Material,rare4,Material obtained from small insects. Mixes with insect gastric fluids to form adhesive.,
246,Monster Broth,Material,rare6,Material from high rank insects. A rich broth made from only the thickest of monster juices.,
247,Poison Sac,Material,rare4,A monster organ that contains a lethal toxin. Handle with extreme care.,
248,Toxin Sac,Material,rare6,A monster organ filled with an extremely potent toxin. Just touching it is dangerous.,
249,Paralysis Sac,Material,rare4,A monster organ that contains paralyzing neurotoxins.,
250,Omniplegia Sac,Material,rare6,A monster organ filled with potent neurotoxins. A single touch can cause paralysis.,
251,Sleep Sac,Material,rare4,A monster organ that contains a knockout powder capable of inducing sleep.,
252,Coma Sac,Material,rare6,A monster organ that contains dangerous powder. One whiff can induce a coma.,
253,Flame Sac,Material,rare4,A monster organ filled with flammable powder. Handle with extreme care.,
254,Inferno Sac,Material,rare6,A monster organ filled with powder that ignites if it so much as touches air. Danger!,
255,Aqua Sac,Material,rare4,A monster organ designed to hold and preserve water.,
256,Torrent Sac,Material,rare6,A monster organ designed to hold and preserve copious amounts of water.,
257,Frost Sac,Material,rare4,"A monster internal organ, filled with extremely low temperature fluid. Handle with care.",
258,Freezer Sac,Material,rare6,A monster organ with tremendous freezing power. Turns its surroundings to ice.,
259,Electro Sac,Material,rare4,"A monster organ that can store up electricity, which is released on impact.",
260,Thunder Sac,Material,rare6,A monster organ that can store up large amounts of high voltage electricity.,
261,Bird Wyvern Gem,Material,rare7,A valuable gem that can be harvested from bird wyverns. Said to fetch a high price on the market.,
262,Wyvern Gem,Material,rare7,"Throughout a wyvern's life, impurities gather and form this peculiar gem.",
263,Elder Dragon Blood,Material,rare7,Contains an unknown compound. The object of much scholarly research.,
264,Mosswine Hide,Material,rare4,A musty hide covered in moss.,
265,Warm Pelt,Material,rare4,"A pelt from a small animal. Used for many things, but mostly just regular clothes.",
266,High-quality Pelt,Material,rare6,Rare pelt from a small animal. Feels wonderful to the touch and valued highly by the Commission.,
267,Vespoid Shell,Material,rare4,Vespoid material. Obtained by carving. Used for many purposes.,
268,Vespoid Carapace,Material,rare6,Rare Vespoid material. Obtained by carving. Used for many purposes.,
269,Vespoid Wing,Material,rare4,"Vespoid material. Obtained by carving. Light and sharp, used in many weapons.",
270,Vespoid Innerwing,Material,rare6,"Rare Vespoid material. Obtained by carving. Light and sharp, used in many weapons.",
271,Hornetaur Shell,Material,rare4,Hornetaur material. Obtained by carving. Used for many purposes.,
272,Hornetaur Wing,Material,rare4,Hornetaur material. Obtained by carving. Used for many purposes.,
273,Hornetaur Head,Material,rare4,"Hornetaur material. Obtained by carving. Unusual, used in select gear.",
