Quest ID,Name
1594,The Purr-fect Room: Silver
1642,Hymn of Moon and Sun
1651,The Storm Brings the Unexpected
1661,One Hot Night in the Spire
1671,Divine Surge
1691,Into the Palace of Flame
1692,Master Hunter of the New World
1631,We Run This Town
1632,Special Arena: MR Zinogre
1633,Special Arena: MR Yian Garuga
1634,Special Arena: MR Brute Tigrex
1635,Special Arena: MR Gold Rathian
1636,Special Arena: MR Silver Rathalos
961,Beyond the Blasting Scales
971,Thunderous Rumble in the Highlands
1603,Sleep Now in the Fire
1604,Big Burly Bash
1605,To the Very Ends with You
1606,Return of the Crazy One
3171,Arena Master Quest 01
3071,Arena Master Quest 02
3072,Arena Master Quest 03
3073,Arena Master Quest 04
3074,Arena Master Quest 05
3091,Arena Master Quest 06
3092,Arena Master Quest 07
1225,You Scratch Our Backs...
51602,Sterling Pride
51601,"Reveal Thyself, Destroyer"
61101,Up at the Crack of Dawn
61103,Where Sun Meets Moon
61104,Timberland Troublemakers
61105,Every Hunter's Dream
61601,Midnight Mayhem
61603,A Royal Pain
61604,Kings Know No Fear
61605,Mosswinin' and Dinin'
61606,The Greatest Jagras
61607,The Name's Lavasioth!
62502,The Deathly Quiet Curtain
62503,A Whisper of White Mane
62504,The Scorn of the Sun
62505,The Eye of the Storm
62506,The Heralds of Destruction Cry
62511,When Blue Dust Surpasses Red Lust
62515,Relish the Moment
62606,Undying Alpenglow
62607,Like a Moth to the Flame
62608,Gaze Upon the Dawn
62609,Keeper of the Otherworld
63001,Challenge Quest 1: Beginner
63002,Challenge Quest 2: Beginner
63003,Vespoid Infestation!
63004,"Down the Dark, Muddy Path"
63005,USJ Beginners Challenge!
63006,USJ Expert Challenge!
63007,USJ Beginners Challenge!
63008,USJ Expert Challenge!
63009,"Down the Dark, Muddy Path"
63031,Challenge Quest 1: Intermediate
63032,Challenge Quest 2: Intermediate
63033,Gajalaka Outbreak!
63034,The Awakened Satsui No Hado I
63035,The Awakened Satsui No Hado II
63036,The Awakened Satsui No Hado III
63037,Empress in Full Bloom I
63038,Empress in Full Bloom II
63039,Empress in Full Bloom III
63051,Challenge Quest 1: Expert
63052,Challenge Quest 2: Expert
63101,Nergigante Slay Event 1
63102,Nergigante Slay Event 2
63103,Nergigante Slay Event 3
63104,Gale & Fangs Slay Event 1
63105,Gale & Fangs Slay Event 2
63106,Gale & Fangs Slay Event 3
63107,Nergigante Slay Event 4
63108,Deviljho Slay Event
63109,The Best of the Best
63110,What Lurks In The Forest
63130,When Law Meets War
63131,The Hunter and The Blue Empress
64101,Wicked Wildspire Warfare
64601,Rollin' With The Uragaan
65601,Scrapping with the Shamos
65602,A Flash in the Pan
65603,Egg Lovers United
65604,Wiggle Me This
65605,Triple Threat Throwdown
65606,A Simple Task
65607,Tracking the Delivery
66101,Chew The Fat
66102,Ya-Ku With That?
66103,Flesh Cleaved to Bone
66104,Kirin The Myth
66105,The Poison Posse
66106,Greeting the Gluttons
66601,Deep Green Blues
66602,Wildspire Bolero
66603,Coral Waltz
66604,Effluvial Opera
66605,Rock N' Roll Recess
66606,This is How Revolts Start
66607,Snow & Cherry Blossoms
66608,A Nose for an Eye
66609,No Tomorrow for Usurpers
66610,The Thronetaker
67101,The Proving
67102,Lessons of the Wild
67103,A Rush of Blood
67105,USJ: Gold Star Treatment
67106,USJ: Gold Star Treatment
67603,USJ Blazing Azure Stars!
67604,USJ Blazing Azure Stars!
67605,Code: Red
67606,A Visitor from Eorzea (Extreme)
67607,The Heart of the Nora
67608,"SDF: Silent, Deadly, and Fierce"
67610,Contract: Woodland Spirit
61801,Pearl Snatchers
61811,Flora Frostbite
61812,Beef is Never a Mi-steak
61813,50 Shades of White
61814,A Shocking Climax
63071,Challenge Quest 1: MR Intermediate
63073,Challenge Quest 1: MR Expert
63142,Farewell to the Frozen
64801,Balloon Fight
64802,Talk About a Party Foul...
66801,Trophy Fishin'
66802,The Lord of the Underworld Beckons
66803,A Bunch of Sticks in the Mud
66804,Desert Desserts
66805,A New Troublemaker in Town
66806,Colorful Carnival
66807,Hunter-Blunderer
66808,A Sky & Sea of Fire
66809,A Curious Experiment
66810,Soaked and Shivering
66811,Fired-Up Bruisers
66812,The Desert Dash
66813,In the Depths of the Forest
66814,Servants of the Vale
66815,We Three Kings
66816,The Winter Blues
66817,A Reason Behind The Hunger
